tx_id	g_id	g_name	g_biotype	t_name	t_biotype
ENST00000694923	ENSG00000186205	MTARC1	protein_coding	MTARC1-213	protein_coding_CDS_not_defined
ENST00000492847	ENSG00000186205	MTARC1	protein_coding	MTARC1-206	protein_coding_CDS_not_defined
ENST00000407981	ENSG00000186205	MTARC1	protein_coding	MTARC1-202	protein_coding
ENST00000496110	ENSG00000186205	MTARC1	protein_coding	MTARC1-207	protein_coding_CDS_not_defined
ENST00000694924	ENSG00000186205	MTARC1	protein_coding	MTARC1-214	retained_intron
ENST00000463976	ENSG00000186205	MTARC1	protein_coding	MTARC1-204	nonsense_mediated_decay
ENST00000443880	ENSG00000186205	MTARC1	protein_coding	MTARC1-203	protein_coding
ENST00000472269	ENSG00000186205	MTARC1	protein_coding	MTARC1-205	retained_intron
ENST00000694925	ENSG00000186205	MTARC1	protein_coding	MTARC1-215	retained_intron
ENST00000694926	ENSG00000186205	MTARC1	protein_coding	MTARC1-216	protein_coding_CDS_not_defined
ENST00000703139	ENSG00000198793	MTOR	protein_coding	MTOR-211	nonsense_mediated_decay
ENST00000376838	ENSG00000198793	MTOR	protein_coding	MTOR-202	retained_intron
ENST00000703140	ENSG00000198793	MTOR	protein_coding	MTOR-212	protein_coding
ENST00000361445	ENSG00000198793	MTOR	protein_coding	MTOR-201	protein_coding
ENST00000703141	ENSG00000198793	MTOR	protein_coding	MTOR-213	nonsense_mediated_decay
ENST00000703142	ENSG00000198793	MTOR	protein_coding	MTOR-214	nonsense_mediated_decay
ENST00000703118	ENSG00000198793	MTOR	protein_coding	MTOR-208	nonsense_mediated_decay
ENST00000703131	ENSG00000198793	MTOR	protein_coding	MTOR-209	retained_intron
ENST00000473471	ENSG00000198793	MTOR	protein_coding	MTOR-204	retained_intron
ENST00000490931	ENSG00000198793	MTOR	protein_coding	MTOR-206	retained_intron
ENST00000455339	ENSG00000198793	MTOR	protein_coding	MTOR-203	retained_intron
ENST00000495435	ENSG00000198793	MTOR	protein_coding	MTOR-207	retained_intron
ENST00000476768	ENSG00000198793	MTOR	protein_coding	MTOR-205	retained_intron
ENST00000703132	ENSG00000198793	MTOR	protein_coding	MTOR-210	protein_coding_CDS_not_defined
ENST00000703143	ENSG00000198793	MTOR	protein_coding	MTOR-215	protein_coding
ENST00000703144	ENSG00000198793	MTOR	protein_coding	MTOR-216	protein_coding_CDS_not_defined
ENST00000373036	ENSG00000188786	MTF1	protein_coding	MTF1-201	protein_coding
ENST00000468190	ENSG00000188786	MTF1	protein_coding	MTF1-202	protein_coding_CDS_not_defined
ENST00000420864	ENSG00000128654	MTX2	protein_coding	MTX2-202	nonsense_mediated_decay
ENST00000249442	ENSG00000128654	MTX2	protein_coding	MTX2-201	protein_coding
ENST00000423461	ENSG00000128654	MTX2	protein_coding	MTX2-203	nonsense_mediated_decay
ENST00000443241	ENSG00000128654	MTX2	protein_coding	MTX2-204	protein_coding
ENST00000452865	ENSG00000128654	MTX2	protein_coding	MTX2-205	protein_coding
ENST00000263629	ENSG00000085760	MTIF2	protein_coding	MTIF2-201	protein_coding
ENST00000403721	ENSG00000085760	MTIF2	protein_coding	MTIF2-204	protein_coding
ENST00000394600	ENSG00000085760	MTIF2	protein_coding	MTIF2-203	protein_coding
ENST00000418823	ENSG00000085760	MTIF2	protein_coding	MTIF2-209	protein_coding
ENST00000417741	ENSG00000085760	MTIF2	protein_coding	MTIF2-208	protein_coding_CDS_not_defined
ENST00000446660	ENSG00000085760	MTIF2	protein_coding	MTIF2-212	protein_coding_CDS_not_defined
ENST00000366137	ENSG00000085760	MTIF2	protein_coding	MTIF2-202	protein_coding
ENST00000441307	ENSG00000085760	MTIF2	protein_coding	MTIF2-211	protein_coding
ENST00000404297	ENSG00000085760	MTIF2	protein_coding	MTIF2-205	protein_coding
ENST00000420637	ENSG00000085760	MTIF2	protein_coding	MTIF2-210	protein_coding
ENST00000417363	ENSG00000085760	MTIF2	protein_coding	MTIF2-207	protein_coding
ENST00000412530	ENSG00000085760	MTIF2	protein_coding	MTIF2-206	protein_coding
ENST00000405592	ENSG00000057935	MTA3	protein_coding	MTA3-202	protein_coding
ENST00000406652	ENSG00000057935	MTA3	protein_coding	MTA3-203	protein_coding
ENST00000484780	ENSG00000057935	MTA3	protein_coding	MTA3-216	protein_coding_CDS_not_defined
ENST00000461256	ENSG00000057935	MTA3	protein_coding	MTA3-210	protein_coding_CDS_not_defined
ENST00000407270	ENSG00000057935	MTA3	protein_coding	MTA3-205	protein_coding
ENST00000454356	ENSG00000057935	MTA3	protein_coding	MTA3-209	nonsense_mediated_decay
ENST00000406911	ENSG00000057935	MTA3	protein_coding	MTA3-204	protein_coding
ENST00000409019	ENSG00000057935	MTA3	protein_coding	MTA3-206	nonsense_mediated_decay
ENST00000430763	ENSG00000057935	MTA3	protein_coding	MTA3-207	nonsense_mediated_decay
ENST00000405094	ENSG00000057935	MTA3	protein_coding	MTA3-201	protein_coding
ENST00000433553	ENSG00000057935	MTA3	protein_coding	MTA3-208	protein_coding
ENST00000493983	ENSG00000057935	MTA3	protein_coding	MTA3-219	protein_coding_CDS_not_defined
ENST00000491314	ENSG00000057935	MTA3	protein_coding	MTA3-218	protein_coding_CDS_not_defined
ENST00000490611	ENSG00000057935	MTA3	protein_coding	MTA3-217	retained_intron
ENST00000472767	ENSG00000057935	MTA3	protein_coding	MTA3-212	protein_coding_CDS_not_defined
ENST00000475383	ENSG00000057935	MTA3	protein_coding	MTA3-213	protein_coding_CDS_not_defined
ENST00000482875	ENSG00000057935	MTA3	protein_coding	MTA3-215	retained_intron
ENST00000467925	ENSG00000057935	MTA3	protein_coding	MTA3-211	retained_intron
ENST00000478602	ENSG00000057935	MTA3	protein_coding	MTA3-214	retained_intron
ENST00000677997	ENSG00000065911	MTHFD2	protein_coding	MTHFD2-213	protein_coding
ENST00000677170	ENSG00000065911	MTHFD2	protein_coding	MTHFD2-209	protein_coding
ENST00000678684	ENSG00000065911	MTHFD2	protein_coding	MTHFD2-218	protein_coding
ENST00000409804	ENSG00000065911	MTHFD2	protein_coding	MTHFD2-203	protein_coding
ENST00000470592	ENSG00000065911	MTHFD2	protein_coding	MTHFD2-205	nonsense_mediated_decay
ENST00000489041	ENSG00000065911	MTHFD2	protein_coding	MTHFD2-208	nonsense_mediated_decay
ENST00000678955	ENSG00000065911	MTHFD2	protein_coding	MTHFD2-220	retained_intron
ENST00000477455	ENSG00000065911	MTHFD2	protein_coding	MTHFD2-206	protein_coding_CDS_not_defined
ENST00000678340	ENSG00000065911	MTHFD2	protein_coding	MTHFD2-215	protein_coding
ENST00000679055	ENSG00000065911	MTHFD2	protein_coding	MTHFD2-221	protein_coding
ENST00000677377	ENSG00000065911	MTHFD2	protein_coding	MTHFD2-211	nonsense_mediated_decay
ENST00000394053	ENSG00000065911	MTHFD2	protein_coding	MTHFD2-201	protein_coding
ENST00000409601	ENSG00000065911	MTHFD2	protein_coding	MTHFD2-202	protein_coding
ENST00000678228	ENSG00000065911	MTHFD2	protein_coding	MTHFD2-214	nonsense_mediated_decay
ENST00000488086	ENSG00000065911	MTHFD2	protein_coding	MTHFD2-207	retained_intron
ENST00000462026	ENSG00000065911	MTHFD2	protein_coding	MTHFD2-204	protein_coding
ENST00000678623	ENSG00000065911	MTHFD2	protein_coding	MTHFD2-216	protein_coding
ENST00000678731	ENSG00000065911	MTHFD2	protein_coding	MTHFD2-219	protein_coding
ENST00000677299	ENSG00000065911	MTHFD2	protein_coding	MTHFD2-210	retained_intron
ENST00000677558	ENSG00000065911	MTHFD2	protein_coding	MTHFD2-212	protein_coding
ENST00000678633	ENSG00000065911	MTHFD2	protein_coding	MTHFD2-217	protein_coding
ENST00000414416	ENSG00000175701	MTLN	protein_coding	MTLN-201	protein_coding
ENST00000611969	ENSG00000175701	MTLN	protein_coding	MTLN-203	protein_coding
ENST00000426713	ENSG00000175701	MTLN	protein_coding	MTLN-202	protein_coding
ENST00000464344	ENSG00000122085	MTERF4	protein_coding	MTERF4-213	protein_coding_CDS_not_defined
ENST00000496878	ENSG00000122085	MTERF4	protein_coding	MTERF4-221	retained_intron
ENST00000241527	ENSG00000122085	MTERF4	protein_coding	MTERF4-201	nonsense_mediated_decay
ENST00000614476	ENSG00000122085	MTERF4	protein_coding	MTERF4-222	protein_coding
ENST00000488567	ENSG00000122085	MTERF4	protein_coding	MTERF4-218	protein_coding_CDS_not_defined
ENST00000455202	ENSG00000122085	MTERF4	protein_coding	MTERF4-211	protein_coding_CDS_not_defined
ENST00000480298	ENSG00000122085	MTERF4	protein_coding	MTERF4-217	protein_coding_CDS_not_defined
ENST00000476564	ENSG00000122085	MTERF4	protein_coding	MTERF4-215	retained_intron
ENST00000449133	ENSG00000122085	MTERF4	protein_coding	MTERF4-210	protein_coding
ENST00000495694	ENSG00000122085	MTERF4	protein_coding	MTERF4-220	protein_coding
ENST00000479205	ENSG00000122085	MTERF4	protein_coding	MTERF4-216	protein_coding_CDS_not_defined
ENST00000493169	ENSG00000122085	MTERF4	protein_coding	MTERF4-219	protein_coding_CDS_not_defined
ENST00000414146	ENSG00000122085	MTERF4	protein_coding	MTERF4-206	protein_coding
ENST00000401626	ENSG00000122085	MTERF4	protein_coding	MTERF4-203	protein_coding
ENST00000391980	ENSG00000122085	MTERF4	protein_coding	MTERF4-202	protein_coding
ENST00000406593	ENSG00000122085	MTERF4	protein_coding	MTERF4-204	protein_coding
ENST00000439144	ENSG00000122085	MTERF4	protein_coding	MTERF4-209	protein_coding
ENST00000424798	ENSG00000122085	MTERF4	protein_coding	MTERF4-207	protein_coding
ENST00000460915	ENSG00000122085	MTERF4	protein_coding	MTERF4-212	retained_intron
ENST00000407095	ENSG00000122085	MTERF4	protein_coding	MTERF4-205	protein_coding
ENST00000475860	ENSG00000122085	MTERF4	protein_coding	MTERF4-214	retained_intron
ENST00000434791	ENSG00000122085	MTERF4	protein_coding	MTERF4-208	protein_coding
ENST00000353332	ENSG00000163719	MTMR14	protein_coding	MTMR14-203	protein_coding
ENST00000420925	ENSG00000163719	MTMR14	protein_coding	MTMR14-206	protein_coding
ENST00000447144	ENSG00000163719	MTMR14	protein_coding	MTMR14-210	nonsense_mediated_decay
ENST00000430020	ENSG00000163719	MTMR14	protein_coding	MTMR14-207	nonsense_mediated_decay
ENST00000296003	ENSG00000163719	MTMR14	protein_coding	MTMR14-201	protein_coding
ENST00000351233	ENSG00000163719	MTMR14	protein_coding	MTMR14-202	protein_coding
ENST00000416864	ENSG00000163719	MTMR14	protein_coding	MTMR14-205	nonsense_mediated_decay
ENST00000437997	ENSG00000163719	MTMR14	protein_coding	MTMR14-209	nonsense_mediated_decay
ENST00000480578	ENSG00000163719	MTMR14	protein_coding	MTMR14-212	retained_intron
ENST00000449543	ENSG00000163719	MTMR14	protein_coding	MTMR14-211	nonsense_mediated_decay
ENST00000414996	ENSG00000163719	MTMR14	protein_coding	MTMR14-204	nonsense_mediated_decay
ENST00000431250	ENSG00000163719	MTMR14	protein_coding	MTMR14-208	protein_coding
ENST00000606184	ENSG00000163719	MTMR14	protein_coding	MTMR14-213	retained_intron
ENST00000457717	ENSG00000138823	MTTP	protein_coding	MTTP-203	protein_coding
ENST00000504724	ENSG00000138823	MTTP	protein_coding	MTTP-204	protein_coding_CDS_not_defined
ENST00000511610	ENSG00000138823	MTTP	protein_coding	MTTP-207	protein_coding
ENST00000505094	ENSG00000138823	MTTP	protein_coding	MTTP-205	protein_coding
ENST00000511045	ENSG00000138823	MTTP	protein_coding	MTTP-206	protein_coding
ENST00000422897	ENSG00000138823	MTTP	protein_coding	MTTP-202	protein_coding
ENST00000265517	ENSG00000138823	MTTP	protein_coding	MTTP-201	protein_coding
ENST00000429519	ENSG00000163738	MTHFD2L	protein_coding	MTHFD2L-206	protein_coding_CDS_not_defined
ENST00000490698	ENSG00000163738	MTHFD2L	protein_coding	MTHFD2L-214	retained_intron
ENST00000475291	ENSG00000163738	MTHFD2L	protein_coding	MTHFD2L-211	retained_intron
ENST00000429335	ENSG00000163738	MTHFD2L	protein_coding	MTHFD2L-205	nonsense_mediated_decay
ENST00000433372	ENSG00000163738	MTHFD2L	protein_coding	MTHFD2L-207	protein_coding_CDS_not_defined
ENST00000423607	ENSG00000163738	MTHFD2L	protein_coding	MTHFD2L-204	nonsense_mediated_decay
ENST00000395759	ENSG00000163738	MTHFD2L	protein_coding	MTHFD2L-203	protein_coding
ENST00000461101	ENSG00000163738	MTHFD2L	protein_coding	MTHFD2L-208	protein_coding_CDS_not_defined
ENST00000325278	ENSG00000163738	MTHFD2L	protein_coding	MTHFD2L-201	protein_coding
ENST00000359107	ENSG00000163738	MTHFD2L	protein_coding	MTHFD2L-202	nonsense_mediated_decay
ENST00000484725	ENSG00000163738	MTHFD2L	protein_coding	MTHFD2L-212	protein_coding_CDS_not_defined
ENST00000492183	ENSG00000163738	MTHFD2L	protein_coding	MTHFD2L-215	retained_intron
ENST00000461856	ENSG00000163738	MTHFD2L	protein_coding	MTHFD2L-209	protein_coding_CDS_not_defined
ENST00000465255	ENSG00000163738	MTHFD2L	protein_coding	MTHFD2L-210	protein_coding_CDS_not_defined
ENST00000490128	ENSG00000163738	MTHFD2L	protein_coding	MTHFD2L-213	protein_coding_CDS_not_defined
ENST00000703170	ENSG00000168412	MTNR1A	protein_coding	MTNR1A-202	protein_coding
ENST00000307161	ENSG00000168412	MTNR1A	protein_coding	MTNR1A-201	protein_coding
ENST00000507837	ENSG00000124275	MTRR	protein_coding	MTRR-210	protein_coding_CDS_not_defined
ENST00000502509	ENSG00000124275	MTRR	protein_coding	MTRR-203	protein_coding_CDS_not_defined
ENST00000511639	ENSG00000124275	MTRR	protein_coding	MTRR-220	protein_coding_CDS_not_defined
ENST00000513439	ENSG00000124275	MTRR	protein_coding	MTRR-223	nonsense_mediated_decay
ENST00000264668	ENSG00000124275	MTRR	protein_coding	MTRR-201	protein_coding
ENST00000508047	ENSG00000124275	MTRR	protein_coding	MTRR-211	nonsense_mediated_decay
ENST00000510279	ENSG00000124275	MTRR	protein_coding	MTRR-217	nonsense_mediated_decay
ENST00000514220	ENSG00000124275	MTRR	protein_coding	MTRR-224	protein_coding
ENST00000511461	ENSG00000124275	MTRR	protein_coding	MTRR-219	nonsense_mediated_decay
ENST00000503550	ENSG00000124275	MTRR	protein_coding	MTRR-205	nonsense_mediated_decay
ENST00000440940	ENSG00000124275	MTRR	protein_coding	MTRR-202	protein_coding
ENST00000514369	ENSG00000124275	MTRR	protein_coding	MTRR-225	nonsense_mediated_decay
ENST00000502550	ENSG00000124275	MTRR	protein_coding	MTRR-204	protein_coding
ENST00000506877	ENSG00000124275	MTRR	protein_coding	MTRR-207	protein_coding
ENST00000512217	ENSG00000124275	MTRR	protein_coding	MTRR-221	protein_coding
ENST00000510525	ENSG00000124275	MTRR	protein_coding	MTRR-218	nonsense_mediated_decay
ENST00000508890	ENSG00000124275	MTRR	protein_coding	MTRR-214	retained_intron
ENST00000508101	ENSG00000124275	MTRR	protein_coding	MTRR-212	protein_coding_CDS_not_defined
ENST00000509961	ENSG00000124275	MTRR	protein_coding	MTRR-216	protein_coding_CDS_not_defined
ENST00000512311	ENSG00000124275	MTRR	protein_coding	MTRR-222	retained_intron
ENST00000507414	ENSG00000124275	MTRR	protein_coding	MTRR-209	protein_coding_CDS_not_defined
ENST00000507202	ENSG00000124275	MTRR	protein_coding	MTRR-208	retained_intron
ENST00000508354	ENSG00000124275	MTRR	protein_coding	MTRR-213	retained_intron
ENST00000506115	ENSG00000124275	MTRR	protein_coding	MTRR-206	protein_coding_CDS_not_defined
ENST00000509379	ENSG00000124275	MTRR	protein_coding	MTRR-215	protein_coding_CDS_not_defined
ENST00000230640	ENSG00000039123	MTREX	protein_coding	MTREX-201	protein_coding
ENST00000504388	ENSG00000039123	MTREX	protein_coding	MTREX-204	protein_coding_CDS_not_defined
ENST00000506750	ENSG00000039123	MTREX	protein_coding	MTREX-207	nonsense_mediated_decay
ENST00000503165	ENSG00000039123	MTREX	protein_coding	MTREX-203	protein_coding_CDS_not_defined
ENST00000504997	ENSG00000039123	MTREX	protein_coding	MTREX-205	protein_coding_CDS_not_defined
ENST00000505565	ENSG00000039123	MTREX	protein_coding	MTREX-206	nonsense_mediated_decay
ENST00000502953	ENSG00000039123	MTREX	protein_coding	MTREX-202	retained_intron
ENST00000518955	ENSG00000039123	MTREX	protein_coding	MTREX-209	retained_intron
ENST00000508716	ENSG00000039123	MTREX	protein_coding	MTREX-208	protein_coding
ENST00000280285	ENSG00000150712	MTMR12	protein_coding	MTMR12-202	protein_coding
ENST00000382142	ENSG00000150712	MTMR12	protein_coding	MTMR12-203	protein_coding
ENST00000264934	ENSG00000150712	MTMR12	protein_coding	MTMR12-201	protein_coding
ENST00000510216	ENSG00000150712	MTMR12	protein_coding	MTMR12-206	protein_coding_CDS_not_defined
ENST00000504049	ENSG00000150712	MTMR12	protein_coding	MTMR12-204	retained_intron
ENST00000505419	ENSG00000150712	MTMR12	protein_coding	MTMR12-205	nonsense_mediated_decay
ENST00000513622	ENSG00000150712	MTMR12	protein_coding	MTMR12-207	nonsense_mediated_decay
ENST00000512528	ENSG00000177034	MTX3	protein_coding	MTX3-202	protein_coding
ENST00000512560	ENSG00000177034	MTX3	protein_coding	MTX3-203	protein_coding
ENST00000509852	ENSG00000177034	MTX3	protein_coding	MTX3-201	protein_coding
ENST00000405204	ENSG00000130349	MTRES1	protein_coding	MTRES1-202	protein_coding
ENST00000311381	ENSG00000130349	MTRES1	protein_coding	MTRES1-201	protein_coding
ENST00000625458	ENSG00000130349	MTRES1	protein_coding	MTRES1-204	protein_coding
ENST00000489790	ENSG00000130349	MTRES1	protein_coding	MTRES1-203	protein_coding_CDS_not_defined
ENST00000451457	ENSG00000146410	MTFR2	protein_coding	MTFR2-205	protein_coding
ENST00000367784	ENSG00000146410	MTFR2	protein_coding	MTFR2-201	nonsense_mediated_decay
ENST00000420702	ENSG00000146410	MTFR2	protein_coding	MTFR2-203	protein_coding
ENST00000532958	ENSG00000146410	MTFR2	protein_coding	MTFR2-207	protein_coding
ENST00000418509	ENSG00000146410	MTFR2	protein_coding	MTFR2-202	protein_coding
ENST00000445767	ENSG00000146410	MTFR2	protein_coding	MTFR2-204	protein_coding_CDS_not_defined
ENST00000527338	ENSG00000146410	MTFR2	protein_coding	MTFR2-206	retained_intron
ENST00000461949	ENSG00000112031	MTRF1L	protein_coding	MTRF1L-206	protein_coding_CDS_not_defined
