Position	Coverage
248	24388
249	24299
250	23274
251	22180
252	21805
253	21671
254	21956
255	21098
256	20778
257	21005
258	20925
259	20697
260	19915
261	19225
262	16550
263	16791
264	16408
265	15686
266	15274
267	14310
268	13602
269	13401
270	13155
271	11970
272	11891
273	11572
274	11236
275	10857
276	10225
277	9917
278	9488
279	9425
280	9109
281	9327
282	9404
283	9125
284	8720
285	8446
286	8659
287	8808
288	8471
289	7546
290	6451
291	5829
292	3868
293	3466
294	2526
295	1978
296	1780
297	1787
298	1707
299	1677
300	1717
301	1605
302	1493
303	1102
304	1059
305	1007
306	858
307	660
308	495
309	166
310	126
311	179
312	184
313	199
314	226
315	199
316	232
317	251
318	245
319	260
320	293
321	324
322	272
323	227
324	239
325	240
326	314
327	324
328	347
329	338
330	274
331	299
332	280
333	363
334	426
335	461
336	394
337	358
338	325
339	346
340	355
341	340
342	278
343	260
344	237
345	295
346	295
347	241
348	236
349	289
350	384
351	339
352	282
353	220
354	192
355	213
356	273
357	419
358	506
359	480
360	381
361	356
362	362
363	407
364	438
365	354
366	355
367	292
368	268
369	214
370	202
371	230
372	275
373	321
374	277
375	253
376	212
377	209
378	222
379	223
380	181
381	147
382	159
383	175
384	202
385	166
386	146
387	155
388	169
389	159
390	149
391	134
392	123
393	116
394	126
395	126
396	128
397	126
398	128
399	129
400	129
401	129
402	128
403	126
404	131
405	130
406	133
407	133
408	129
409	128
410	125
411	128
412	131
413	135
414	141
415	152
416	176
417	221
418	237
419	239
420	261
421	271
422	278
423	278
424	282
425	284
426	278
427	282
428	279
429	277
430	274
431	273
432	272
433	269
434	276
435	287
436	288
437	289
438	293
439	292
440	289
441	298
442	299
443	304
444	296
445	303
446	294
447	302
448	310
449	319
450	317
451	316
452	314
453	314
454	320
455	308
456	308
457	305
458	317
459	312
460	312
461	311
462	317
463	314
464	318
465	314
466	312
467	314
468	316
469	312
470	314
471	313
472	316
473	318
474	320
475	321
476	325
477	324
478	324
479	322
480	323
481	326
482	330
483	332
484	330
485	331
486	328
487	328
488	328
489	330
490	330
491	329
492	323
493	320
494	325
495	328
496	330
497	330
498	304
499	305
500	309
501	332
502	316
503	315
504	314
505	323
506	324
507	325
508	327
509	322
510	332
511	321
512	308
513	309
514	316
515	332
516	328
517	330
518	326
519	329
520	328
521	331
522	326
523	320
524	321
525	309
526	311
527	320
528	322
529	317
530	323
531	321
532	322
533	304
534	302
535	302
536	313
537	307
538	320
539	312
540	308
541	302
542	309
543	312
544	295
545	290
546	297
547	303
548	309
549	301
550	303
551	294
552	305
553	302
554	313
555	311
556	300
557	293
558	288
559	293
560	287
561	298
562	302
563	288
564	286
565	282
566	277
567	262
568	253
569	271
570	420
571	574
572	732
573	829
574	849
575	841
576	963
577	1341
578	1381
579	1432
580	1477
581	1495
582	1530
583	1739
584	1760
585	1788
586	1826
587	1930
588	1980
589	2025
590	1999
591	2018
592	2052
593	2052
594	2142
595	2176
596	2201
597	2245
598	2249
599	2360
600	2330
601	2376
602	2421
603	2507
604	2565
605	2591
606	2589
607	2625
608	2597
609	2682
610	2749
611	2898
612	2959
613	3006
614	3072
615	3057
616	3076
617	3265
618	3308
619	3337
620	3388
621	3351
622	3220
623	3197
624	3248
625	3309
626	3310
627	3352
628	3490
629	3588
630	3683
631	3680
632	3727
633	3726
634	3733
635	3715
636	3701
637	3690
638	3714
639	3748
640	3808
641	3836
642	3857
643	3878
644	3875
645	3853
646	3918
647	4016
648	4043
649	4036
650	4055
651	3970
652	3903
653	3892
654	3979
655	4105
656	4201
657	4241
658	4740
659	6276
660	10105
661	11152
662	11969
663	12780
664	12682
665	13753
666	16385
667	18764
668	19421
669	19414
670	19867
671	19989
672	22129
673	22414
674	22895
675	22476
676	23487
677	25445
678	26614
679	28133
680	28128
681	29122
682	28712
683	30943
684	31390
685	31856
686	32222
687	33043
688	34499
689	35321
690	37664
691	37869
692	38802
693	38319
694	39072
695	39601
696	40303
697	40436
698	42979
699	42925
700	43220
701	42984
702	44141
703	44924
704	43922
705	44853
706	44933
707	46797
708	46584
709	47413
710	47473
711	47686
712	48942
713	49646
714	51199
715	52486
716	52282
717	51579
718	52117
719	52432
720	54095
721	54666
722	55571
723	55064
724	54666
725	55092
726	56575
727	57979
728	58655
729	58577
730	57725
731	56591
732	56152
733	56624
734	57917
735	58114
736	60474
737	61470
738	61751
739	61540
740	60394
741	60941
742	62001
743	63985
744	64741
745	65542
746	64808
747	63721
748	62486
749	61239
750	60415
751	63080
752	65582
753	65849
754	65964
755	66220
756	68897
757	69616
758	70410
759	71110
760	69207
761	69147
762	68421
763	70416
764	71113
765	71520
766	71385
767	71038
768	70531
769	70303
770	71507
771	70012
772	69958
773	70654
774	73215
775	73979
776	73055
777	73291
778	74505
779	75521
780	77605
781	76926
782	74388
783	72057
784	72336
785	74560
786	77105
787	77564
788	78385
789	79520
790	78681
791	77451
792	78542
793	79996
794	81995
795	80733
796	79390
797	79637
798	81088
799	83038
800	83007
801	82806
802	81845
803	82712
804	83140
805	84712
806	84764
807	85711
808	83437
809	79546
810	78238
811	78649
812	79438
813	79931
814	81029
815	84265
816	84444
817	84826
818	87345
819	88728
820	89437
821	87825
822	88098
823	87704
824	89234
825	90409
826	88670
827	86712
828	85909
829	89272
830	91684
831	93577
832	93010
833	89058
834	88355
835	88492
836	91112
837	91299
838	91446
839	89903
840	88977
841	86624
842	88324
843	90386
844	91923
845	92968
846	90747
847	90337
848	90619
849	93156
850	95961
851	95655
852	94037
853	96008
854	96923
855	97428
856	93389
857	90534
858	91582
859	94341
860	99820
861	99170
862	98745
863	99451
864	99396
865	95730
866	92797
867	89791
868	89323
869	90466
870	93004
871	95692
872	93916
873	91617
874	89917
875	91671
876	93343
877	95097
878	91568
879	91532
880	96439
881	100700
882	101782
883	101722
884	103717
885	102220
886	100046
887	99749
888	98084
889	97249
890	97939
891	99249
892	95680
893	93668
894	94553
895	95856
896	98683
897	99223
898	102591
899	103489
900	103107
901	102955
902	97554
903	97872
904	98943
905	105671
906	104009
907	104495
908	102797
909	104996
910	105092
911	106475
912	108125
913	103454
914	101036
915	97767
916	100868
917	103115
918	107550
919	106859
920	101286
921	101254
922	103917
923	107721
924	109737
925	109956
926	99987
927	97924
928	96694
929	103334
930	99569
931	99114
932	99748
933	101035
934	100697
935	100312
936	100685
937	105472
938	106250
939	109777
940	107866
941	108067
942	107268
943	107694
944	107154
945	109828
946	110310
947	111826
948	114063
949	115728
950	114504
951	112645
952	109401
953	108897
954	107126
955	107289
956	105430
957	105040
958	101350
959	102154
960	101528
961	101588
962	100483
963	97784
964	97256
965	97877
966	101289
967	99650
968	99207
969	100068
970	99518
971	94087
972	92563
973	95618
974	101109
975	105153
976	102235
977	97672
978	96878
979	97246
980	101087
981	100964
982	101590
983	98874
984	100543
985	101621
986	102087
987	100678
988	100593
989	102721
990	104274
991	104557
992	105239
993	106982
994	108505
995	107924
996	106779
997	104650
998	101857
999	103156
1000	102487
1001	104851
1002	104390
1003	105668
1004	104584
1005	105666
1006	107407
1007	105085
1008	103787
1009	102481
1010	106336
1011	107394
1012	109002
1013	110461
1014	109054
1015	108892
1016	110803
1017	108789
1018	107346
1019	103692
1020	106923
1021	109108
1022	112464
1023	112275
1024	113549
1025	114817
1026	115774
1027	114318
1028	114866
1029	113670
1030	110172
1031	108243
1032	108683
1033	113418
1034	117904
1035	119794
1036	118871
1037	117653
1038	118119
1039	119432
1040	120684
1041	120403
1042	118180
1043	120282
1044	120603
1045	119315
1046	116621
1047	115410
1048	116133
1049	117583
1050	118450
1051	118777
1052	119395
1053	119720
1054	118321
1055	118042
1056	118063
1057	117199
1058	120207
1059	123302
1060	127708
1061	124089
1062	118809
1063	115558
1064	116017
1065	119467
1066	123467
1067	127211
1068	124259
1069	121128
1070	127442
1071	131206
1072	128232
1073	126195
1074	125235
1075	130306
1076	134725
1077	138669
1078	141531
1079	140148
1080	136619
1081	135604
1082	134745
1083	136216
1084	134185
1085	135183
1086	134743
1087	136632
1088	138323
1089	139474
1090	141587
1091	138550
1092	135580
1093	136796
1094	138102
1095	142295
1096	137982
1097	132574
1098	130167
1099	132362
1100	137397
1101	140966
1102	139266
1103	134066
1104	130775
1105	132492
1106	136546
1107	139647
1108	142297
1109	141883
1110	141025
1111	138668
1112	138469
1113	143290
1114	143029
1115	147951
1116	148663
1117	147856
1118	145255
1119	144992
1120	147500
1121	148511
1122	147545
1123	148868
1124	150099
1125	149927
1126	145988
1127	144550
1128	146531
1129	148109
1130	148739
1131	147078
1132	147549
1133	147911
1134	146421
1135	148040
1136	151529
1137	155115
1138	153376
1139	151679
1140	153650
1141	155487
1142	155168
1143	159771
1144	158901
1145	160181
1146	158817
1147	156803
1148	153488
1149	150475
1150	153761
1151	153667
1152	159348
1153	159667
1154	158594
1155	157336
1156	158368
1157	165907
1158	170666
1159	170966
1160	166890
1161	162391
1162	161674
1163	166460
1164	169731
1165	176315
1166	176328
1167	175342
1168	171996
1169	169873
1170	165297
1171	162928
1172	163662
1173	168861
1174	173601
1175	173132
1176	171694
1177	171089
1178	173942
1179	167767
1180	166738
1181	166708
1182	173930
1183	175178
1184	179726
1185	181809
1186	183794
1187	181260
1188	180349
1189	174838
1190	172327
1191	170431
1192	174229
1193	176422
1194	181721
1195	182801
1196	184027
1197	179878
1198	172769
1199	173264
1200	169880
1201	173821
1202	171594
1203	173211
1204	175912
1205	179081
1206	185202
1207	181572
1208	180474
1209	187760
1210	188893
1211	192792
1212	190636
1213	187572
1214	184649
1215	183336
1216	187388
1217	188405
1218	190083
1219	191628
1220	188691
1221	181810
1222	177171
1223	182042
1224	184324
1225	186907
1226	188619
1227	189582
1228	188280
1229	191217
1230	196418
1231	195094
1232	192863
1233	197011
1234	205115
1235	208464
1236	208052
1237	205911
1238	203704
1239	202439
1240	203591
1241	202329
1242	208365
1243	211015
1244	215340
1245	216809
1246	215526
1247	213256
1248	208791
1249	211691
1250	213577
1251	210448
1252	204095
1253	203840
1254	209241
1255	216409
1256	218854
1257	216946
1258	218014
1259	211286
1260	207994
1261	213180
1262	213203
1263	209936
1264	208119
1265	208793
1266	215556
1267	213394
1268	217566
1269	218934
1270	222872
1271	222664
1272	216769
1273	217634
1274	217516
1275	216289
1276	208491
1277	202411
1278	203022
1279	206121
1280	213320
1281	219199
1282	224928
1283	223275
1284	223392
1285	223070
1286	221112
1287	222348
1288	217487
1289	213756
1290	215626
1291	217187
1292	221710
1293	223551
1294	231670
1295	231894
1296	227646
1297	229080
1298	229545
1299	229681
1300	225332
1301	217398
1302	214878
1303	215014
1304	221510
1305	223994
1306	223103
1307	219095
1308	214821
1309	212907
1310	209237
1311	210557
1312	208253
1313	209992
1314	201565
1315	200986
1316	206641
1317	209530
1318	210042
1319	201064
1320	197078
1321	193891
1322	198495
1323	200562
1324	204237
1325	208101
1326	206725
1327	203010
1328	188915
1329	191248
1330	194265
1331	207137
1332	206908
1333	203012
1334	201281
1335	203819
1336	206610
1337	209936
1338	206997
1339	200494
1340	195089
1341	196811
1342	200890
1343	206709
1344	208602
1345	211240
1346	209994
1347	207379
1348	202310
1349	203631
1350	199982
1351	200573
1352	201699
1353	207142
1354	212994
1355	212469
1356	212583
1357	209896
1358	202695
1359	201383
1360	198481
1361	197010
1362	191322
1363	194888
1364	197200
1365	203258
1366	203393
1367	198325
1368	187887
1369	189580
1370	196264
1371	206503
1372	206068
1373	195692
1374	189710
1375	178493
1376	174316
1377	175051
1378	178816
1379	182633
1380	176735
1381	173639
1382	173143
1383	169485
1384	167000
1385	171859
1386	172781
1387	173331
1388	164730
1389	164867
1390	164448
1391	166126
1392	162061
1393	154074
1394	146561
1395	144234
1396	144168
1397	152200
1398	154331
1399	155747
1400	154233
1401	155262
1402	153913
1403	153018
1404	149223
1405	153729
1406	158801
1407	167065
1408	168034
1409	164937
1410	158838
1411	155690
1412	143424
1413	144589
1414	147495
1415	160605
1416	163918
1417	164576
1418	163338
1419	163285
1420	164149
1421	163306
1422	156171
1423	153176
1424	151774
1425	155674
1426	158955
1427	157449
1428	153856
1429	149654
1430	151646
1431	153991
1432	152896
1433	152033
1434	147126
1435	140951
1436	142287
1437	143933
1438	150265
1439	148926
1440	149111
1441	145381
1442	147099
1443	147900
1444	148400
1445	148449
1446	145437
1447	145225
1448	142857
1449	141395
1450	138514
1451	143061
1452	150390
1453	151694
1454	148731
1455	147710
1456	148080
1457	149019
1458	144621
1459	144657
1460	144693
1461	148336
1462	145360
1463	138522
1464	132273
1465	127865
1466	129610
1467	132589
1468	136321
1469	138113
1470	138807
1471	137372
1472	134759
1473	133294
1474	132971
1475	132311
1476	130865
1477	127930
1478	129706
1479	126586
1480	129776
1481	123233
1482	122457
1483	119488
1484	120111
1485	120381
1486	116155
1487	117445
1488	116803
1489	110873
1490	110638
1491	106547
1492	109023
1493	100753
1494	102150
1495	96337
1496	98970
1497	99198
1498	100324
1499	102020
1500	103918
1501	108102
1502	106797
1503	106665
1504	105325
1505	108158
1506	104106
1507	101267
1508	99333
1509	98922
1510	101508
1511	102359
1512	104744
1513	105681
1514	102451
1515	95924
1516	92970
1517	92826
1518	91878
1519	92622
1520	93338
1521	94311
1522	94664
1523	93475
1524	88939
1525	89267
1526	90551
1527	94962
1528	93114
1529	87181
1530	81886
1531	72437
1532	70141
1533	69294
1534	70060
1535	73287
1536	76023
1537	72753
1538	73516
1539	74095
1540	74847
1541	76531
1542	77591
1543	78490
1544	78917
1545	77579
1546	77946
1547	77215
1548	75975
1549	75252
1550	72472
1551	67753
1552	60869
1553	59480
1554	50476
1555	49063
1556	45250
1557	46098
1558	45413
1559	41371
1560	40237
1561	39391
1562	37458
1563	36923
1564	35115
1565	33548
1566	26791
1567	27519
1568	27180
1569	25378
1570	23874
1571	23669
1572	23806
1573	22643
1574	22544
1575	22112
1576	22438
1577	21776
1578	21389
1579	20392
1580	20375
1581	20760
1582	20702
1583	20787
1584	20907
1585	20511
1586	20523
1587	20199
1588	20355
1589	19315
1590	19098
1591	17640
1592	17948
1593	18122
1594	18710
1595	18056
1596	16751
1597	12447
1598	10561
1599	9752
1600	8629
1601	1295
1602	1151
1603	1189
1604	1184
1605	1156
1606	1156
1607	1152
1608	1163
1609	1161
1610	1126
1611	1114
1612	1071
1613	1110
1614	1134
1615	1150
1616	1144
1617	1117
1618	1138
1619	1155
1620	1213
1621	1212
1622	1165
1623	1133
1624	1102
1625	1122
1626	1097
1627	1135
1628	1147
1629	1134
1630	1124
1631	1150
1632	1177
1633	1203
1634	1197
1635	1179
1636	1146
1637	1135
1638	1152
1639	1213
1640	1181
1641	1157
1642	1113
1643	1112
1644	1113
1645	1117
1646	1138
1647	1152
1648	1152
1649	1161
1650	1154
1651	1146
1652	1162
1653	1196
1654	1221
1655	1192
1656	1173
1657	1159
1658	1195
1659	1182
1660	1100
1661	1080
1662	1072
1663	1077
1664	1065
1665	1064
1666	1073
1667	1109
1668	1113
1669	1081
1670	1062
1671	1048
1672	1092
1673	1103
1674	1118
1675	1084
1676	1069
1677	1074
1678	1121
1679	1159
1680	1342
1681	1393
1682	1972
1683	2973
1684	3288
1685	4076
1686	4407
1687	4615
1688	5835
1689	6454
1690	6868
1691	7125
1692	7544
1693	8441
1694	8390
1695	8695
1696	8898
1697	8850
1698	9212
1699	9682
1700	10052
1701	10396
1702	10166
1703	10347
1704	10712
1705	11035
1706	11008
1707	11230
1708	12075
1709	12506
1710	12468
1711	12981
1712	13140
1713	13266
1714	14057
1715	15588
1716	15766
1717	16046
1718	15735
1719	15752
1720	15707
1721	16063
1722	16893
1723	16661
1724	16456
1725	16721
1726	17735
1727	18451
1728	18882
1729	18890
1730	19001
1731	18669
1732	18589
1733	18559
1734	18925
1735	19484
1736	19525
1737	19511
1738	19735
1739	19836
1740	19368
1741	19030
1742	19101
1743	19804
1744	20273
1745	20716
1746	20270
1747	19027
1748	18446
1749	18415
1750	19284
1751	19655
1752	20999
1753	20900
1754	21700
1755	21702
1756	22253
1757	22792
1758	23172
1759	23364
1760	22612
1761	22245
1762	21932
1763	22393
1764	22744
1765	23365
1766	23853
1767	22529
1768	22039
1769	21781
1770	22708
1771	23470
1772	24102
1773	24323
1774	24645
1775	24493
1776	24898
1777	24753
1778	25720
1779	25912
1780	26390
1781	26179
1782	26041
1783	26018
1784	25764
1785	26318
1786	26179
1787	26221
1788	26593
1789	26466
1790	26405
1791	25155
1792	24764
1793	25315
1794	26222
1795	26998
1796	26783
1797	27100
1798	27664
1799	28198
1800	29239
1801	29711
1802	29767
1803	29746
1804	29643
1805	29609
1806	29973
1807	30398
1808	30477
1809	30567
1810	30213
1811	30067
1812	29872
1813	30236
1814	30438
1815	29866
1816	29269
1817	29790
1818	30405
1819	31595
1820	31822
1821	31478
1822	31662
1823	31288
1824	32048
1825	31296
1826	32005
1827	32603
1828	32862
1829	33057
1830	31523
1831	31354
1832	31139
1833	32848
1834	33199
1835	32811
1836	32243
1837	31390
1838	31465
1839	31909
1840	32656
1841	33301
1842	33147
1843	32648
1844	32097
1845	32166
1846	33138
1847	33448
1848	33514
1849	33851
1850	33287
1851	33260
1852	32957
1853	33460
1854	34208
1855	34635
1856	34748
1857	34152
1858	34238
1859	34302
1860	34736
1861	35097
1862	35825
1863	35548
1864	34016
1865	34241
1866	35120
1867	35575
1868	35458
1869	35620
1870	36095
1871	35883
1872	36320
1873	35943
1874	35036
1875	34962
1876	35572
1877	36955
1878	36488
1879	36479
1880	36772
1881	37285
1882	37914
1883	36988
1884	37047
1885	36861
1886	36906
1887	35524
1888	35017
1889	35508
1890	37204
1891	38894
1892	38631
1893	37012
1894	36819
1895	37300
1896	38578
1897	38869
1898	37665
1899	35763
1900	35653
1901	35179
1902	35994
1903	35493
1904	36039
1905	36362
1906	37219
1907	37546
1908	36799
1909	36807
1910	37057
1911	39194
1912	39339
1913	38324
1914	37497
1915	37932
1916	38875
1917	38297
1918	37787
1919	37922
1920	38458
1921	38932
1922	38784
1923	39489
1924	40333
1925	40793
1926	40414
1927	39991
1928	38935
1929	39599
1930	40625
1931	40420
1932	39219
1933	38664
1934	40036
1935	42275
1936	42525
1937	42381
1938	41450
1939	41352
1940	39348
1941	39393
1942	37925
1943	39225
1944	37505
1945	37354
1946	36764
1947	38172
1948	38564
1949	34937
1950	34507
1951	35067
1952	38765
1953	40213
1954	39465
1955	39760
1956	39997
1957	38855
1958	38045
1959	37491
1960	38755
1961	39511
1962	38843
1963	38848
1964	39310
1965	39082
1966	38564
1967	38232
1968	37170
1969	35958
1970	35778
1971	35976
1972	36057
1973	35844
1974	36478
1975	37391
1976	38098
1977	38416
1978	38399
1979	38364
1980	37718
1981	36945
1982	36433
1983	37016
1984	37510
1985	37700
1986	36542
1987	35167
1988	33864
1989	34020
1990	33997
1991	32616
1992	32375
1993	32565
1994	33290
1995	32422
1996	32705
1997	34593
1998	33301
1999	33233
2000	32337
2001	33820
2002	33539
2003	33189
2004	32218
2005	31008
2006	30925
2007	31589
2008	31620
2009	30447
2010	30121
2011	29814
2012	29725
2013	30276
2014	29840
2015	28982
2016	28371
2017	29116
2018	29236
2019	27904
2020	27685
2021	27770
2022	27299
2023	25976
2024	26301
2025	26542
2026	27633
2027	27279
2028	26144
2029	26014
2030	26787
2031	26599
2032	26300
2033	25737
2034	25976
2035	25765
2036	26386
2037	26703
2038	27890
2039	27035
2040	26657
2041	25719
2042	26095
2043	26339
2044	26625
2045	26270
2046	26079
2047	26939
2048	28051
2049	28617
2050	28401
2051	27761
2052	27113
2053	27032
2054	27537
2055	27127
2056	25984
2057	24501
2058	23946
2059	24535
2060	25844
2061	25737
2062	25775
2063	24954
2064	23786
2065	23498
2066	22833
2067	22775
2068	23231
2069	23988
2070	25136
2071	25475
2072	26199
2073	25152
2074	24734
2075	23544
2076	22845
2077	21874
2078	20724
2079	20131
2080	21346
2081	22011
2082	21898
2083	21697
2084	21591
2085	21373
2086	21573
2087	22174
2088	22892
2089	23054
2090	22616
2091	21862
2092	21943
2093	22285
2094	22808
2095	22413
2096	22638
2097	22298
2098	21624
2099	20718
2100	20952
2101	21463
2102	22393
2103	22485
2104	21974
2105	21858
2106	21752
2107	21518
2108	21172
2109	20919
2110	21493
2111	22068
2112	22110
2113	22173
2114	22129
2115	22281
2116	23125
2117	23246
2118	24038
2119	23922
2120	22701
2121	21855
2122	22110
2123	22605
2124	23007
2125	23309
2126	24024
2127	23996
2128	23057
2129	22981
2130	23363
2131	24424
2132	24234
2133	24118
2134	23445
2135	22797
2136	22358
2137	23173
2138	24317
2139	25338
2140	25250
2141	25088
2142	24966
2143	25038
2144	24719
2145	24815
2146	24183
2147	23943
2148	23176
2149	23195
2150	23199
2151	24200
2152	24423
2153	24352
2154	24209
2155	23961
2156	23719
2157	23717
2158	24130
2159	23910
2160	23359
2161	22910
2162	22267
2163	21873
2164	20639
2165	20956
2166	21297
2167	22428
2168	22775
2169	22571
2170	22166
2171	22186
2172	22037
2173	21148
2174	19841
2175	19376
2176	20085
2177	21678
2178	22454
2179	22415
2180	22186
2181	21193
2182	21174
2183	21461
2184	20928
2185	20058
2186	19524
2187	20274
2188	20999
2189	21048
2190	21426
2191	22292
2192	22224
2193	22387
2194	22976
2195	23503
2196	22988
2197	22942
2198	22791
2199	23141
2200	22102
2201	21466
2202	21139
2203	21376
2204	21145
2205	21485
2206	22131
2207	23052
2208	22495
2209	22068
2210	20444
2211	20932
2212	21356
2213	22939
2214	22632
2215	22088
2216	21742
2217	20441
2218	20627
2219	20582
2220	21551
2221	21425
2222	21548
2223	21361
2224	20803
2225	21196
2226	21980
2227	23057
2228	22850
2229	22829
2230	22615
2231	22282
2232	22186
2233	21192
2234	20307
2235	19971
2236	20901
2237	22421
2238	22024
2239	21594
2240	21763
2241	22481
2242	22714
2243	22669
2244	22554
2245	22613
2246	22054
2247	22709
2248	22671
2249	22768
2250	21909
2251	21848
2252	21810
2253	21680
2254	21857
2255	21922
2256	22588
2257	22506
2258	22605
2259	21799
2260	21538
2261	20808
2262	20796
2263	21080
2264	22053
2265	21945
2266	22180
2267	22374
2268	21464
2269	20933
2270	20297
2271	20258
2272	20999
2273	21969
2274	22147
2275	21595
2276	21978
2277	22129
2278	22447
2279	21605
2280	20269
2281	19707
2282	18838
2283	18866
2284	18744
2285	19465
2286	19723
2287	19877
2288	19782
2289	20007
2290	19967
2291	19849
2292	19535
2293	19406
2294	19152
2295	19644
2296	19954
2297	20677
2298	20535
2299	20439
2300	20521
2301	20592
2302	21037
2303	20748
2304	20832
2305	20723
2306	21303
2307	21387
2308	21472
2309	20948
2310	21060
2311	21009
2312	21223
2313	20993
2314	21038
2315	21318
2316	21616
2317	21630
2318	21710
2319	21882
2320	21476
2321	21326
2322	21628
2323	21972
2324	22049
2325	21529
2326	21587
2327	20882
2328	20739
2329	20534
2330	20623
2331	20582
2332	19913
2333	20309
2334	20318
2335	20832
2336	20928
2337	20758
2338	20083
2339	19400
2340	19306
2341	19612
2342	20252
2343	20022
2344	19546
2345	18831
2346	18926
2347	19201
2348	19629
2349	19703
2350	19328
2351	19778
2352	19860
2353	20360
2354	20071
2355	19774
2356	19614
2357	19842
2358	19710
2359	20175
2360	19976
2361	19888
2362	19534
2363	19335
2364	19982
2365	20148
2366	20192
2367	20006
2368	20245
2369	20484
2370	20437
2371	20629
2372	21139
2373	21026
2374	20770
2375	20609
2376	19909
2377	19139
2378	18107
2379	18412
2380	18982
2381	19937
2382	20071
2383	19756
2384	19948
2385	19358
2386	19789
2387	19691
2388	20064
2389	19917
2390	19834
2391	19720
2392	19507
2393	19680
2394	19235
2395	18599
2396	17901
2397	18149
2398	18515
2399	18676
2400	18529
2401	18895
2402	18628
2403	18251
2404	18007
2405	18494
2406	18790
2407	19268
2408	19350
2409	19350
2410	19155
2411	18821
2412	18310
2413	17338
2414	17191
2415	17419
2416	17896
2417	18159
2418	17836
2419	18085
2420	17872
2421	17925
2422	17556
2423	17820
2424	17476
2425	17068
2426	15958
2427	16269
2428	16581
2429	17583
2430	17596
2431	17231
2432	17310
2433	17427
2434	17272
2435	16780
2436	16479
2437	16304
2438	16857
2439	17005
2440	16641
2441	16110
2442	16288
2443	16753
2444	17161
2445	17281
2446	17671
2447	17669
2448	17998
2449	18011
2450	18133
2451	18437
2452	17954
2453	17232
2454	16793
2455	17022
2456	17660
2457	18333
2458	18582
2459	18413
2460	18373
2461	18297
2462	18383
2463	17917
2464	17975
2465	17846
2466	18114
2467	17908
2468	16472
2469	16166
2470	15708
2471	16801
2472	16399
2473	16489
2474	15834
2475	15951
2476	15891
2477	15833
2478	15950
2479	16013
2480	16335
2481	16180
2482	15987
2483	15675
2484	15744
2485	15930
2486	15982
2487	15618
2488	13352
2489	12905
2490	12843
2491	13906
2492	14375
2493	14220
2494	14377
2495	14697
2496	14989
2497	14726
2498	15034
2499	14957
2500	14464
2501	14424
2502	14558
2503	15172
2504	15070
2505	14945
2506	14663
2507	14585
2508	14211
2509	14308
2510	14286
2511	14196
2512	13658
2513	13056
2514	13198
2515	13184
2516	13835
2517	13959
2518	14058
2519	13674
2520	13165
2521	13273
2522	13173
2523	13143
2524	12535
2525	12384
2526	12561
2527	12891
2528	13170
2529	12827
2530	13032
2531	13047
2532	13368
2533	13321
2534	13199
2535	12845
2536	12379
2537	12375
2538	11429
2539	11498
2540	11346
2541	11919
2542	11720
